id (prid),Pavadinimas (prname),FaktineKaina (prprice),Buvusi Kaina (prdiscount),Kaina,Nuolaida,Aprašymas (prdescription),Medžiaga (prmaterial),Plotis (prwidth),Aukštis (prheight),Storis (prthickness),Svoris (prweight),Kategorija1 (prcategory),Kategorija2,Kategorija3,Panašūs produktai,Raktaž be LT raidziu (prkeywords),-,-,Interesų klasės (printerestsclass),Medžiaga1 (prmaterial1),Kiekis1 (prmat1consumption),Medžiaga2 (prmaterial2),Kiekis2 (prmat2consumption),Medžiaga3  (prmaterial3),Kiekis3 (prmat3consumption),MaketLaikas (prmakettime),CNC Laikas (prcnctime),LaserLaikas (prlasertime),HandworkLaikas (prhandworktime),Photo1 (prphoto1),Photo2 (prphoto2),Photo3 (prphoto3),Photo4 (prphoto4),Photo5 (prphoto5),Photo6 (prphoto6),Photo7 (prphoto7),photo8 (prphoto8),photo9 (prphoto9),photo10 (prphoto10),configurator type,Tipas,Įkainis,medziaga,kaina
1,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,70,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,6300,0,0,0,0,600,0,90,25,christmas/cust1.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
2,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,84,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7560,0,0,0,0,600,0,90,25,christmas/cust2.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
3,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,89,88,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7832,0,0,0,0,600,0,90,25,christmas/snowflake4.jpg,,,,,,,,,,3d,basic,,fanera4mm,10
4,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,70,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,6300,0,0,0,0,600,0,90,25,christmas/cust4.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
5,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,80,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7200,0,0,0,0,600,0,90,25,christmas/cust5.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
6,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,90,82,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7380,0,0,0,0,600,0,90,25,christmas/cust6.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
7,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,90,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,8100,0,0,0,0,600,0,90,25,christmas/cust7.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
8,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,71,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,6390,0,0,0,0,600,0,90,25,christmas/cust8.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
9,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,99,92,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,9108,0,0,0,0,600,0,90,25,christmas/cust9.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
10,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,99,92,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,9108,0,0,0,0,600,0,90,25,christmas/cust10.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
